cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamB,P0,1,0.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6284598782425752,1.0891487591467315
Primary complete-case cohort,TeamB,P0,1,0.0001,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6284598693687017,1.0891487399704605
Primary complete-case cohort,TeamB,P0,1,0.001,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6284597895038978,1.0891485673842276
Primary complete-case cohort,TeamB,P0,1,0.01,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.628458990861752,1.0891468415422936
Primary complete-case cohort,TeamB,P0,1,0.1,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6284510050294108,1.0891295851622935
Primary complete-case cohort,TeamB,P0,1,1.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283712055740119,1.0889572251012025
Primary complete-case cohort,TeamB,P0,1,10.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6276312334532819,1.0872538048286717
Primary complete-case cohort,TeamB,P0,1,100.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6213215260209338,1.0720594404805328
Primary complete-case cohort,TeamB,P0,1,1000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.5997347034947259,1.0101888533737013
Primary complete-case cohort,TeamB,P0,1,10000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6153242320500201,1.0028888988215112
Primary complete-case cohort,TeamB,P0,1,100000.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6253026459885008,1.0129824726198322
Primary complete-case cohort,TeamB,P0,2,0.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565843710375545,1.0255330135093492
Primary complete-case cohort,TeamB,P0,2,0.0001,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565843686515697,1.0255330024704907
Primary complete-case cohort,TeamB,P0,2,0.001,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565843471777174,1.025532903120883
Primary complete-case cohort,TeamB,P0,2,0.01,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565841324403911,1.02553190963639
Primary complete-case cohort,TeamB,P0,2,0.1,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565819851866861,1.0255219759498198
Primary complete-case cohort,TeamB,P0,2,1.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5565605245989412,1.025422754827777
Primary complete-case cohort,TeamB,P0,2,10.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5563471069755113,1.0244420260739568
Primary complete-case cohort,TeamB,P0,2,100.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5543254352391866,1.0156969424365156
Primary complete-case cohort,TeamB,P0,2,1000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5502198507470984,0.9843142131740743
Primary complete-case cohort,TeamB,P0,2,10000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5818863634392785,1.0272386976902073
Primary complete-case cohort,TeamB,P0,2,100000.0,1778,368,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5990442364551916,1.0576361615626395
Primary complete-case cohort,TeamB,P0,3,0.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719137342448515,0.9431386491556552
Primary complete-case cohort,TeamB,P0,3,0.0001,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.57191372803436,0.9431386340347542
Primary complete-case cohort,TeamB,P0,3,0.001,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.571913672139963,0.943138497946733
Primary complete-case cohort,TeamB,P0,3,0.01,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719131131985711,0.9431371370751963
Primary complete-case cohort,TeamB,P0,3,0.1,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719075240424928,0.9431235292273077
Primary complete-case cohort,TeamB,P0,3,1.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5718516582537853,0.9429875374486009
Primary complete-case cohort,TeamB,P0,3,10.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5712955656325164,0.9416362422410377
Primary complete-case cohort,TeamB,P0,3,100.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5659797559358828,0.9289403988390557
Primary complete-case cohort,TeamB,P0,3,1000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.531327547793718,0.8539343590083833
Primary complete-case cohort,TeamB,P0,3,10000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.4983476116424465,0.7844576620655503
Primary complete-case cohort,TeamB,P0,3,100000.0,2146,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.4969807638349231,0.7843515421528136
Primary complete-case cohort,TeamB,P1,1,0.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676709259967055,1.0363581995046818
Primary complete-case cohort,TeamB,P1,1,0.0001,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676709067136759,1.036358183095404
Primary complete-case cohort,TeamB,P1,1,0.001,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676707331666419,1.0363580354122157
Primary complete-case cohort,TeamB,P1,1,0.01,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676689977193307,1.0363565586112078
Primary complete-case cohort,TeamB,P1,1,0.1,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676516455487226,1.0363417936879995
Primary complete-case cohort,TeamB,P1,1,1.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6674783536792445,1.0361944525192874
Primary complete-case cohort,TeamB,P1,1,10.0,1342,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6658133950785291,1.034751238040401
