cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Missingness-aware cohort,TeamB,P1m,1,0.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6676981270035581,1.0355827009846519
Missingness-aware cohort,TeamB,P1m,1,0.0001,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6673893354577893,1.0361120690671575
Missingness-aware cohort,TeamB,P1m,1,0.001,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6673891634379354,1.03611192333576
Missingness-aware cohort,TeamB,P1m,1,0.01,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.667387443261969,1.0361104660518876
Missingness-aware cohort,TeamB,P1m,1,0.1,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6673702437591303,1.0360958962225597
Missingness-aware cohort,TeamB,P1m,1,1.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6672024798474692,1.0359504982722099
Missingness-aware cohort,TeamB,P1m,1,10.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6655547156900516,1.0345259701036578
Missingness-aware cohort,TeamB,P1m,1,100.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6513533890112837,1.0227491924576186
Missingness-aware cohort,TeamB,P1m,1,1000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6078810958524301,0.9896938489328831
Missingness-aware cohort,TeamB,P1m,1,10000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6159937834356309,0.999222153664022
Missingness-aware cohort,TeamB,P1m,1,100000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6252359309738612,1.0122792526527216
Missingness-aware cohort,TeamB,P1m,2,0.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,86967057643.9471,801100619387.0576
Missingness-aware cohort,TeamB,P1m,2,0.0001,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6327265814593429,0.9999545224500143
Missingness-aware cohort,TeamB,P1m,2,0.001,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6327264190218663,0.9999543758154499
Missingness-aware cohort,TeamB,P1m,2,0.01,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.632724794661759,0.9999529095022994
Missingness-aware cohort,TeamB,P1m,2,0.1,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6327085525262942,0.9999382496194417
Missingness-aware cohort,TeamB,P1m,2,1.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.632546277587456,0.9997919750263808
Missingness-aware cohort,TeamB,P1m,2,10.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6309449806952945,0.9983610367974882
Missingness-aware cohort,TeamB,P1m,2,100.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.6173711250671974,0.9867236641195962
Missingness-aware cohort,TeamB,P1m,2,1000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5697857609562025,0.9628283894702128
Missingness-aware cohort,TeamB,P1m,2,10000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5833749671789729,1.0188581291997765
Missingness-aware cohort,TeamB,P1m,2,100000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5977738685710646,1.0547261751220898
Missingness-aware cohort,TeamB,P1m,3,0.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.605915140715873,0.895761075087788
Missingness-aware cohort,TeamB,P1m,3,0.0001,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6062115202527895,0.8958756847797202
Missingness-aware cohort,TeamB,P1m,3,0.001,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6062113610945372,0.8958755358602276
Missingness-aware cohort,TeamB,P1m,3,0.01,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6062097695262341,0.8958740466847654
Missingness-aware cohort,TeamB,P1m,3,0.1,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.606193855265159,0.8958591568763951
Missingness-aware cohort,TeamB,P1m,3,1.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.6060348546831752,0.8957104531378608
Missingness-aware cohort,TeamB,P1m,3,10.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.604477333060775,0.8942425746011197
Missingness-aware cohort,TeamB,P1m,3,100.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5910089855439781,0.8812417428805015
Missingness-aware cohort,TeamB,P1m,3,1000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5290750116889175,0.8231126955781799
Missingness-aware cohort,TeamB,P1m,3,10000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.49699134221923663,0.779824713455617
Missingness-aware cohort,TeamB,P1m,3,100000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.4969649132477163,0.7832229230981431
